Frame,Human_Count
1,7
2,6
3,6
4,7
5,7
6,7
7,7
8,8
9,7
10,7
11,6
12,6
13,6
14,6
15,7
16,6
17,6
18,6
19,6
20,6
21,6
22,6
23,6
24,6
25,6
26,6
27,6
28,6
29,6
30,6
31,6
32,6
33,6
34,6
35,6
36,6
37,6
38,6
39,6
40,6
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
49,7
50,6
51,7
52,7
53,7
54,7
55,6
56,6
57,6
58,6
59,6
60,6
61,6
62,7
63,7
64,7
65,7
66,7
67,7
68,7
69,7
70,7
71,7
72,7
73,7
74,7
75,7
76,7
77,7
78,7
79,7
80,7
81,7
82,8
83,8
84,8
85,8
86,8
87,9
88,8
89,7
90,7
91,7
92,8
93,7
94,7
95,7
96,7
97,7
98,7
99,7
100,7
101,7
102,7
103,7
104,7
105,7
106,7
107,7
108,7
109,7
110,8
111,8
112,8
113,8
114,8
115,10
116,8
117,8
118,8
119,8
120,8
121,8
122,8
123,8
124,8
125,8
126,9
127,8
128,8
129,8
130,8
131,8
132,8
133,8
134,8
135,8
136,8
137,8
138,8
139,8
140,8
141,8
142,8
143,8
144,8
145,8
146,8
147,8
148,8
149,8
150,9
151,9
152,9
153,8
154,7
155,8
156,8
157,8
158,8
159,8
160,8
161,8
162,8
163,8
164,8
165,8
166,8
167,8
168,8
169,8
170,8
171,8
172,8
173,8
174,8
175,8
176,8
177,8
178,8
179,8
180,8
181,8
182,8
183,8
184,8
185,8
186,8
187,8
188,9
189,9
190,8
191,8
192,8
193,8
194,8
195,9
196,9
197,9
198,10
199,10
200,9
201,9
202,9
203,8
204,8
205,7
206,7
207,7
208,8
209,7
210,7
211,7
212,7
213,7
214,7
215,7
216,7
217,8
218,8
219,8
220,8
221,8
222,8
223,8
224,7
225,7
226,7
227,7
228,7
229,8
230,7
231,7
232,7
233,7
234,7
235,7
236,7
237,7
238,7
239,7
240,7
241,7
242,7
243,7
244,7
245,7
246,7
247,7
248,7
249,7
250,7
251,7
252,7
253,7
254,7
255,8
256,7
257,8
258,8
259,8
260,8
261,8
262,8
263,9
264,9
265,9
266,9
267,8
268,8
269,8
270,7
271,7
272,7
273,7
274,7
275,7
276,7
277,7
278,7
279,7
280,7
281,8
282,9
283,10
284,8
285,8
286,9
287,10
288,10
289,10
290,9
291,9
292,10
293,10
294,10
295,10
296,11
297,10
298,10
299,10
300,10
301,9
302,9
303,9
304,9
305,9
306,9
307,9
308,9
309,9
310,9
311,9
312,9
313,9
314,11
315,11
316,11
317,11
318,9
319,9
320,9
321,9
322,9
323,8
324,9
